Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-001643,2017-01-06T18:35:00Z,2017-01-06T06:00:00Z,R bet N 56 and ORCUTT E,NA,B7-001643
B7-001645,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,HIGH bet S 46 and S 46,H&R,NA
B7-001655,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,W PLUM bet SW 18 and SW 19,H&R,NA
B7-001658,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,S 44 bet C and D,NA,NA
B7-001662,2017-01-06T20:34:00Z,2017-01-06T06:00:00Z,RANDOLPH bet ROBERT and S COTNER,INJURY,B7-001662
B7-001667,2017-01-06T20:44:00Z,2017-01-06T06:00:00Z,N 64 bet FRANCIS and LEXINGTON,H&R,NA
B7-001679,2017-01-06T21:45:00Z,2017-01-06T06:00:00Z,S 8 bet C and D,H&R,NA
B7-001687,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,at N 58 CT,NA,NA
B7-001689,2017-01-06T22:50:00Z,2017-01-06T06:00:00Z,S 48 at NEBR HWY,NA,B7-001689
B7-001700,2017-01-06T23:55:00Z,2017-01-06T06:00:00Z,N 19 bet SPRING MEADOW DR and HARDING DR,NA,B7-001700
B7-001711,2017-01-07T00:50:00Z,2017-01-07T06:00:00Z,S 84 bet LANCASHIRE DR and SANDALWOOD,H&R,B7-001711
B7-001740,2017-01-07T05:39:00Z,2017-01-07T06:00:00Z,SUN VALLEY bet OAK and SAUNDERS,NA,B7-001740
B7-001745,2017-01-07T00:00:00Z,2017-01-07T06:00:00Z,S 41 bet OLD CHENEY and KIPLING,H&R,B7-001745
B7-001747,2017-01-07T07:20:00Z,2017-01-07T06:00:00Z,S 10 bet HIGH and VAN DORN,NA,B7-001747
B7-001748,2017-01-07T00:00:00Z,2017-01-07T06:00:00Z,at 1531 SW 24,H&R,NA
B7-001754,2017-01-07T08:35:00Z,2017-01-07T06:00:00Z,S 22 bet HARWOOD and SOUTH,NA,B7-001754
B7-001757,2017-01-07T09:00:00Z,2017-01-07T06:00:00Z,NEBR HWY bet PIONEERS and S 14,INJURY,B7-001757
B7-001766,2017-01-07T09:58:00Z,2017-01-07T06:00:00Z,A bet S 23 and S 24,NA,B7-001766
B7-001772,2017-01-07T10:50:00Z,2017-01-07T06:00:00Z,MANES bet DEAD END and VINE,NA,NA
B7-001780,2017-01-07T11:36:00Z,2017-01-07T06:00:00Z,NW 48 at W HUNTINGTON,INJURY,B7-001780
B7-001785,2017-01-07T11:30:00Z,2017-01-07T06:00:00Z,Y bet N 26 and N 27,NA,B7-001785
B7-001788,2017-01-07T00:00:00Z,2017-01-07T06:00:00Z,BRIARPARK bet BODIE and HALLCLIFFE RD,H&R,NA
B7-001789,2017-01-07T12:22:00Z,2017-01-07T06:00:00Z,S 14 at OLD FARM,NA,B7-001789
B7-001810,2017-01-07T00:00:00Z,2017-01-07T06:00:00Z,NOTTINGHAM bet DEAD END and S 27,H&R,NA
B7-001814,2017-01-07T13:22:00Z,2017-01-07T06:00:00Z,DODGE bet BEL RIDGE and N 15,NA,B7-001814
B7-001818,2017-01-07T14:44:00Z,2017-01-07T06:00:00Z,40TH ST / 2 HWY,No report,NA
B7-001830,2017-01-07T15:25:00Z,2017-01-07T06:00:00Z,S 20 at E,NA,NA
B7-001833,2017-01-07T15:23:00Z,2017-01-07T06:00:00Z,N 44 bet JUDSON and KNOX,NA,B7-001833
B7-001841,2017-01-07T15:54:00Z,2017-01-07T06:00:00Z,S 61 at PIONEERS,INJURY,B7-001841
B7-001842,2017-01-07T15:57:00Z,2017-01-07T06:00:00Z,N 48 bet DUDLEY and ORCHARD,NA,B7-001842
B7-001845,2017-01-07T00:00:00Z,2017-01-07T06:00:00Z,4700 N 27 at WALMART,H&R,NA
B7-001849,2017-01-07T15:50:00Z,2017-01-07T06:00:00Z,S CODDINGTON bet CITY LIMITS and W VAN DORN,NA,B7-001849
